,id,company_name,job_title,location,job_link,type
184,185,Paytm,Product Management - Product Manager - CST Product (Telco),"Noida, Uttar Pradesh / Bangalore, Karnataka",https://jobs.lever.co/paytm/229d6e51-f98b-4742-90f2-71bc40801a37,Other
185,186,Paytm,Product Management - Senior Product Manager - CST Product (Oauth),"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/f18144a8-9af5-4f4a-a74b-de1fd1573dcc,Other
186,187,Paytm,Product Analyst - Data Product,"Bengaluru, Karnataka",https://jobs.lever.co/paytm/bf6e5809-5a9f-476f-92d4-a8ee003935a0,Tech
187,188,Paytm,Product Management -  Senior Product Manager - Data Product (DPDP/GPDR Product Manager),"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/62479777-24b4-40e9-ae3f-4f059ca9d177,Tech
188,189,Paytm,Product Analyst - Team Lead - Devices Product,"Noida, Uttar Pradesh / Bangalore, Karnataka",https://jobs.lever.co/paytm/e8bf99af-a066-4084-82c5-bfbfb3d408b6,Other
189,190,Paytm,Product Management - Product Manager - EDC,"Noida, Uttar Pradesh / Bangalore, Karnataka",https://jobs.lever.co/paytm/68e848fa-d8ca-4e22-9394-7b29792c36ed,Other
190,191,Paytm,Product Management - Senior Product Manager - EMI,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/98c298fd-a8c6-4486-976e-582b867e0845,Other
191,192,Paytm,Product Analyst - Deputy Manager - Lending,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/5cf4b087-5c14-4ec0-8c1f-a1a056a5dbe8,Other
192,193,Paytm,Product Management - Product Manager - Lending,"Noida, Uttar Pradesh / Bangalore, Karnataka",https://jobs.lever.co/paytm/eb4b91a3-044d-41ec-86e5-73225854ba07,Other
193,194,Paytm,Product Management - Product Manager,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/6ba4efb1-2137-4b06-af9a-1afaf6d65517,Other
194,195,Paytm,Business Product Manager - AGM/DGM (Devices ),"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/70a406f7-0858-40dd-b444-039113d357a9,Other
195,196,Paytm,Business Product Manager - AGM/DGM (Merchant Product),"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/cfa6a8c7-9371-4ff4-b735-b4335110916c,Other
196,197,Paytm,Product Management - Senior Manager - Payments(Settlement),"Noida, Uttar Pradesh / Bangalore, Karnataka",https://jobs.lever.co/paytm/4f959195-389a-46dc-b776-a3621083f95d,Other
197,198,Paytm,Product Management - Senior Product Manager - UPI Payments,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/de74335a-8502-44b3-9c80-a8f29312f6a5,Other
198,199,Paytm,Product Management - Director - Paytm Ads,"Noida, Uttar Pradesh / Bengaluru, Karnataka",https://jobs.lever.co/paytm/09661b89-dcbc-437c-bfbb-eef76f26cc60,Other
199,200,Paytm,Product Management - Senior/Group Product Manager - Paytm Ads,"Noida, Uttar Pradesh / Bengaluru, Karnataka",https://jobs.lever.co/paytm/10aa3d80-73d7-4ea3-80e3-53b8076debbf,Other
200,201,Paytm,Product Management - Associate Product Manager - First Games,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/fb612b46-24a4-468b-8f7c-6d86f5977427,Other
201,202,Paytm,Product Manager-Equity Charting-Paytm Money-Candidate from Broking preffred,"Mumbai, Maharashtra",https://jobs.lever.co/paytm/eb68e951-9c57-446b-a84e-e422495b4041,Design
202,203,Paytm,Senior Product Manager-Equity-Paytm Money ( Candidate from Broking only),"Mumbai, Maharashtra",https://jobs.lever.co/paytm/c7050a6a-a63c-4424-8282-5cd7962374f1,Design
203,204,Paytm,Product Design - Assistant Product Designer - App Team,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/83680b04-3b80-41e7-ba9b-655b3d0bf52b,Design
204,205,Paytm,Product Design- Assistant Manager,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/224f0c1d-1f6a-48ff-b64f-7af053508b83,Other
205,206,Paytm,Product Analytics - Assistant Manager- Recharges & Utilities,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/291cc196-9077-43d9-bdde-31d1b4f996cf,Other
206,207,Paytm,Product Analytics - Senior Manager- Recharges & Utilities,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/14773308-8167-4a4b-be74-c0a423c94800,Other
207,208,Paytm,Product Management -  Product Manager - Recharges & Utilities,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/4d63d674-0927-4da6-a53c-89b43e461e2d,Other
208,209,Paytm,Product Management -  Product Manager - Recharges & Utilities.,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/63ae36aa-c989-44a8-aefd-268688d2d2d4,Other
209,210,Paytm,Product Management - Senior Product Manager - Recharges & Utilities,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/02fe59cb-61ac-4883-a9ab-bc77108510ad,Other
210,211,Paytm,Product Management - Senior Product Manager - Risk Product,"Bengaluru, Karnataka",https://jobs.lever.co/paytm/4afe02ff-96b0-4cfd-b012-e24fcc37ae48,Other
211,212,Paytm,Product Management - Associate Product Manager - Telco,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/82d7d0b5-2c41-470d-9f0c-7d1646b0fe24,Other
212,213,Paytm,Indirect Procurement - ( Merchandising  Expenses)  - Deputy  Manager,"Noida, Uttar Pradesh",https://jobs.lever.co/paytm/9ddc385a-a46c-4d25-aa09-89022ada2bd0,Other
213,214,Paytm,Team Leader - Dairy - Pune,"Pune, Maharashtra",https://jobs.lever.co/paytm/4c03fa08-2069-4560-83f2-c18f9d4d3ec7,Other
214,215,Paytm,Area Sales Manager - EDC Retail Mid-Market,"Mysore, Karnataka",https://jobs.lever.co/paytm/a32a4775-1f6e-49db-82a4-a5fcf8f23e09,Marketing
215,216,Paytm,Area Sales Manager - EDC Retail Mid-Market,"Vijayawada, Andhra Pradesh",https://jobs.lever.co/paytm/c568a8aa-eb5e-4f2b-9cb3-11b1778456f3,Marketing
216,217,Paytm,ASM - Manager,"Mumbai, Maharashtra",https://jobs.lever.co/paytm/050b6b23-871c-41ac-b3df-564b2464fff0,Other
217,218,Paytm,Regional Manager - Associate Vice President,"Hubli, Karnataka",https://jobs.lever.co/paytm/33582a2a-53cd-4ce7-aab2-341602f35719,Other
218,219,Paytm,Regional Manager - General Manager,"Kochi, Kerala",https://jobs.lever.co/paytm/b5ad2652-22b8-44df-ae27-af212036dd6d,Other
219,220,Paytm,Regional Manager - General Manager,"Vijayawada, Andhra Pradesh",https://jobs.lever.co/paytm/4954cc58-60d3-4756-a9b9-29b93174efd7,Other
220,221,Paytm,Regional Manager - General Manager (Chennai),"Chennai, Tamil Nadu",https://jobs.lever.co/paytm/97684829-2aa6-4415-a5e0-86a9c04ad461,Other
221,222,Paytm,Sales - Team Lead,"Warangal, Telangana",https://jobs.lever.co/paytm/3d80959d-a91e-4a4a-bfd6-68ee5b94d7de,Marketing
222,223,Paytm,Sales - Team Lead,"Hyderabad, Telangana",https://jobs.lever.co/paytm/d57b49fe-501c-4c9c-9f21-e8119a64dae4,Marketing
223,224,Paytm,Sales - Team Lead - Coimbatore,"Coimbatore, Tamil Nadu",https://jobs.lever.co/paytm/3eaef778-6712-46ee-af30-4a63626a0088,Marketing
224,225,Paytm,Sales Team Lead,"Hyderabad, Telangana",https://jobs.lever.co/paytm/3fef472c-5208-4128-9f09-496990843df6,Marketing
